dataset,operation,2xx_code,4xx_code,operation_id,method,path,normalized_operation
GitLabBranch,DELETE /projects/{id}/repository/branches/{branch},202,,,DELETE,/projects/{id}/repository/branches/{branch},delete_projects_id_repository_branches_branch
GitLabBranch,POST /projects/{id}/protected_branches,201,,,POST,/projects/{id}/protected_branches,post_projects_id_protected_branches
GitLabBranch,DELETE /projects/{id}/protected_branches/{name},202,,,DELETE,/projects/{id}/protected_branches/{name},delete_projects_id_protected_branches_name
GitLabBranch,DELETE /projects/{id}/repository/merged_branches,202,,,DELETE,/projects/{id}/repository/merged_branches,delete_projects_id_repository_merged_branches
GitLabCommit,GET /projects,200,400,,GET,/projects,get_projects
GitLabCommit,POST /projects,201,400,,POST,/projects,post_projects
GitLabCommit,GET /projects/{id}/repository/commits,200,400,,GET,/projects/{id}/repository/commits,get_projects_id_repository_commits
GitLabCommit,POST /projects/{id}/repository/commits,201,400,,POST,/projects/{id}/repository/commits,post_projects_id_repository_commits
GitLabCommit,GET /projects/{id}/repository/commits/{sha},200,400,,GET,/projects/{id}/repository/commits/{sha},get_projects_id_repository_commits_sha
GitLabCommit,GET /projects/{id}/repository/commits/{sha}/refs,200,400,,GET,/projects/{id}/repository/commits/{sha}/refs,get_projects_id_repository_commits_sha_refs
GitLabCommit,POST /projects/{id}/repository/commits/{sha}/cherry_pick,201,400,,POST,/projects/{id}/repository/commits/{sha}/cherry_pick,post_projects_id_repository_commits_sha_cherry_pick
GitLabCommit,POST /projects/{id}/repository/commits/{sha}/revert,201,400,,POST,/projects/{id}/repository/commits/{sha}/revert,post_projects_id_repository_commits_sha_revert
GitLabCommit,GET /projects/{id}/repository/commits/{sha}/diff,200,400,,GET,/projects/{id}/repository/commits/{sha}/diff,get_projects_id_repository_commits_sha_diff
GitLabCommit,GET /projects/{id}/repository/commits/{sha}/comments,201,400,,GET,/projects/{id}/repository/commits/{sha}/comments,get_projects_id_repository_commits_sha_comments
GitLabCommit,GET /projects/{id}/repository/commits/{sha}/discussions,200,400,,GET,/projects/{id}/repository/commits/{sha}/discussions,get_projects_id_repository_commits_sha_discussions
GitLabCommit,GET /projects/{id}/repository/commits/{sha}/statuses,200,400,,GET,/projects/{id}/repository/commits/{sha}/statuses,get_projects_id_repository_commits_sha_statuses
GitLabCommit,POST /projects/{id}/statuses/{sha},201,400,,POST,/projects/{id}/statuses/{sha},post_projects_id_statuses_sha
